GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Workers 16 years and over
HC02_EST_VC01,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over"
HC03_EST_VC01,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over"
HC04_EST_VC01,Public transportation (excluding taxicab); Estimate; Workers 16 years and over
HC01_EST_VC03,Total; Estimate; AGE - 16 to 19 years
HC02_EST_VC03,"Car, truck, or van -- drove alone; Estimate; AGE - 16 to 19 years"
HC03_EST_VC03,"Car, truck, or van -- carpooled; Estimate; AGE - 16 to 19 years"
HC04_EST_VC03,Public transportation (excluding taxicab); Estimate; AGE - 16 to 19 years
HC01_EST_VC04,Total; Estimate; AGE - 20 to 24 years
HC02_EST_VC04,"Car, truck, or van -- drove alone; Estimate; AGE - 20 to 24 years"
HC03_EST_VC04,"Car, truck, or van -- carpooled; Estimate; AGE - 20 to 24 years"
HC04_EST_VC04,Public transportation (excluding taxicab); Estimate; AGE - 20 to 24 years
HC01_EST_VC05,Total; Estimate; AGE - 25 to 44 years
HC02_EST_VC05,"Car, truck, or van -- drove alone; Estimate; AGE - 25 to 44 years"
HC03_EST_VC05,"Car, truck, or van -- carpooled; Estimate; AGE - 25 to 44 years"
HC04_EST_VC05,Public transportation (excluding taxicab); Estimate; AGE - 25 to 44 years
HC01_EST_VC06,Total; Estimate; AGE - 45 to 54 years
HC02_EST_VC06,"Car, truck, or van -- drove alone; Estimate; AGE - 45 to 54 years"
HC03_EST_VC06,"Car, truck, or van -- carpooled; Estimate; AGE - 45 to 54 years"
HC04_EST_VC06,Public transportation (excluding taxicab); Estimate; AGE - 45 to 54 years
HC01_EST_VC07,Total; Estimate; AGE - 55 to 59 years
HC02_EST_VC07,"Car, truck, or van -- drove alone; Estimate; AGE - 55 to 59 years"
HC03_EST_VC07,"Car, truck, or van -- carpooled; Estimate; AGE - 55 to 59 years"
HC04_EST_VC07,Public transportation (excluding taxicab); Estimate; AGE - 55 to 59 years
HC01_EST_VC08,Total; Estimate; AGE - 60 years and over
HC02_EST_VC08,"Car, truck, or van -- drove alone; Estimate; AGE - 60 years and over"
HC03_EST_VC08,"Car, truck, or van -- carpooled; Estimate; AGE - 60 years and over"
HC04_EST_VC08,Public transportation (excluding taxicab); Estimate; AGE - 60 years and over
HC01_EST_VC10,Total; Estimate; Median age (years)
HC02_EST_VC10,"Car, truck, or van -- drove alone; Estimate; Median age (years)"
HC03_EST_VC10,"Car, truck, or van -- carpooled; Estimate; Median age (years)"
HC04_EST_VC10,Public transportation (excluding taxicab); Estimate; Median age (years)
HC01_EST_VC13,Total; Estimate; SEX - Male
HC02_EST_VC13,"Car, truck, or van -- drove alone; Estimate; SEX - Male"
HC03_EST_VC13,"Car, truck, or van -- carpooled; Estimate; SEX - Male"
HC04_EST_VC13,Public transportation (excluding taxicab); Estimate; SEX - Male
HC01_EST_VC14,Total; Estimate; SEX - Female
HC02_EST_VC14,"Car, truck, or van -- drove alone; Estimate; SEX - Female"
HC03_EST_VC14,"Car, truck, or van -- carpooled; Estimate; SEX - Female"
HC04_EST_VC14,Public transportation (excluding taxicab); Estimate; SEX - Female
HC01_EST_VC27,"Total; Estimate; White alone, not Hispanic or Latino origin"
HC02_EST_VC27,"Car, truck, or van -- drove alone; Estimate; White alone, not Hispanic or Latino origin"
HC03_EST_VC27,"Car, truck, or van -- carpooled; Estimate; White alone, not Hispanic or Latino origin"
HC04_EST_VC27,"Public transportation (excluding taxicab); Estimate; White alone, not Hispanic or Latino origin"
HC01_EST_VC41,Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings
HC02_EST_VC41,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
HC03_EST_VC41,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
HC04_EST_VC41,Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings
HC01_EST_VC42,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $1 to $9,999 or loss"
HC02_EST_VC42,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $1 to $9,999 or loss"
HC03_EST_VC42,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $1 to $9,999 or loss"
HC04_EST_VC42,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $1 to $9,999 or loss"
HC01_EST_VC43,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $10,000 to $14,999"
HC02_EST_VC43,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $10,000 to $14,999"
HC03_EST_VC43,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $10,000 to $14,999"
HC04_EST_VC43,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $10,000 to $14,999"
HC01_EST_VC44,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $15,000 to $24,999"
HC02_EST_VC44,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $15,000 to $24,999"
HC03_EST_VC44,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $15,000 to $24,999"
HC04_EST_VC44,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $15,000 to $24,999"
HC01_EST_VC45,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $25,000 to $34,999"
HC02_EST_VC45,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $25,000 to $34,999"
HC03_EST_VC45,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $25,000 to $34,999"
